"Number","Date","Artist","Song","Weeks","References","Empty"
"2020","2020","2020","2020","2020","2020",2020
"1096","January 18, 2020","Roddy Ricch","""The Box""","11","[5]",NA
"1097","April 4, 2020","The Weeknd","""Blinding Lights"" ♪ [6]","4","[7]",NA
"1098","April 18, 2020","Drake","""Toosie Slide""","1","[8]",NA
"1099","May 9, 2020","The Scotts (Travis Scott and Kid Cudi)","""The Scotts""","1","[9]",NA
"1100","May 16, 2020","Doja Cat featuring Nicki Minaj","""Say So""","1","[10]",NA
"1101","May 23, 2020","Ariana Grande and Justin Bieber","""Stuck with U""","1","[11]",NA
"1102","May 30, 2020","Megan Thee Stallion featuring Beyoncé","""Savage""","1","[12]",NA
"1103","June 6, 2020","Lady Gaga and Ariana Grande","""Rain on Me""","1","[13]",NA
"1104","June 13, 2020","DaBaby featuring Roddy Ricch","""Rockstar""","7","[14]",NA
"1105","June 27, 2020","6ix9ine and Nicki Minaj","""Trollz""","1","[15]",NA
"1106","August 8, 2020","Taylor Swift","""Cardigan""","1","[16]",NA
"1107","August 15, 2020","Harry Styles","""Watermelon Sugar""","1","[17]",NA
"1108","August 22, 2020","Cardi B featuring Megan Thee Stallion","""WAP""","4","[18]",NA
"1109","September 5, 2020","BTS","""Dynamite""","3","[19]",NA
"1110","October 10, 2020","Travis Scott featuring Young Thug and M.I.A.","""Franchise""","1","[20]",NA
"1111","October 17, 2020","Jawsh 685 x Jason Derulo x BTS","""Savage Love (Laxed – Siren Beat)""","1","[21]",NA
"1112","October 24, 2020","24kGoldn featuring Iann Dior","""Mood""","8","[22]",NA
"1113","November 7, 2020","Ariana Grande","""Positions""","1","[23]",NA
"1114","December 5, 2020","BTS","""Life Goes On""","1","[24]",NA
"re","December 19, 2020","Mariah Carey","""All I Want for Christmas Is You""","21","[25]",NA
"1115","December 26, 2020","Taylor Swift","""Willow""","1","[26]",NA
"2021","2021","2021","2021","2021","2021",2021
"1116","January 23, 2021","Olivia Rodrigo","""Drivers License""","8","[27]",NA
"1117","March 20, 2021","Drake","""What's Next""","1","[28]",NA
"1118","March 27, 2021","Cardi B","""Up""","1","[29]",NA
"1119","April 3, 2021","Justin Bieber featuring Daniel Caesar and Giveon","""Peaches""","1","[30]",NA
"1120","April 10, 2021","Lil Nas X","""Montero (Call Me by Your Name)""","1","[31]",NA
"1121","April 17, 2021","Silk Sonic (Bruno Mars and Anderson .Paak)","""Leave the Door Open""","2","[32]",NA
"1122","April 24, 2021","Polo G","""Rapstar""","2","[33]",NA
"1123","May 8, 2021","The Weeknd and Ariana Grande","""Save Your Tears""","2","[34]",NA
"1124","May 29, 2021","Olivia Rodrigo","""Good 4 U""","1","[35]",NA
"1125","June 5, 2021","BTS","""Butter""","10","[36]",NA
"1126","July 24, 2021","BTS","""Permission to Dance""","1","[37]",NA
"1127","August 14, 2021","The Kid Laroi and Justin Bieber","""Stay""","7","[38]",NA
"1128","September 18, 2021","Drake featuring Future and Young Thug","""Way 2 Sexy""","1","[39]",NA
"1129","October 9, 2021","Coldplay x BTS","""My Universe""","1","[40]",NA
"1130","October 23, 2021","Lil Nas X and Jack Harlow","""Industry Baby""","1","[41]",NA
"1131","October 30, 2021","Adele","""Easy on Me""","10","[42]",NA
"1132","November 27, 2021","Taylor Swift","""All Too Well (Taylor's Version)""","1","[43]",NA
"re","December 25, 2021","Mariah Carey","""All I Want for Christmas Is You""","31","[44]",NA
"2022","2022","2022","2022","2022","2022",2022
"1133","February 5, 2022","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast","""We Don't Talk About Bruno""","5","[45]",NA
"1134","March 12, 2022","Glass Animals","""Heat Waves"" ♪ [46]","5","[47]",NA
"1135","April 16, 2022","Harry Styles","""As It Was""","15","[48]",NA
"1136","April 23, 2022","Jack Harlow","""First Class""","3","[49]",NA
"1137","May 14, 2022","Future featuring Drake and Tems","""Wait for U""","1","[50]",NA
"1138","July 2, 2022","Drake featuring 21 Savage","""Jimmy Cooks""","1","[51]",NA
"1139","July 30, 2022","Lizzo","""About Damn Time""","2","[52]",NA
"1140","August 13, 2022","Beyoncé","""Break My Soul""","2","[53]",NA
"1141","August 27, 2022","Nicki Minaj","""Super Freaky Girl""","1","[54]",NA
"1142","October 8, 2022","Steve Lacy","""Bad Habit""","3","[55]",NA
"1143","October 29, 2022","Sam Smith and Kim Petras","""Unholy""","1","[56]",NA
"1144","November 5, 2022","Taylor Swift","""Anti-Hero""","8","[57]",NA
"re","December 17, 2022","Mariah Carey","""All I Want for Christmas Is You""","41","[58]",NA
"2023","2023","2023","2023","2023","2023",2023
"1145","January 28, 2023","Miley Cyrus","""Flowers""","8","[59]",NA
"1146","March 11, 2023","The Weeknd and Ariana Grande","""Die for You""","1","[60]",NA
"1147","March 18, 2023","Morgan Wallen","""Last Night""","16","[61]",NA
"1148","April 8, 2023","Jimin","""Like Crazy""","1","[62]",NA
"1149","April 29, 2023","SZA","""Kill Bill""","1","[63]",NA
"1150","July 15, 2023","Olivia Rodrigo","""Vampire""","1","[64]",NA
"1151","July 29, 2023","Jungkook featuring Latto","""Seven""","1","[65]",NA
"1152","August 5, 2023","Jason Aldean","""Try That in a Small Town""","1","[66]",NA
"1153","August 26, 2023","Oliver Anthony Music","""Rich Men North of Richmond""","2*","[67]",NA
