"member","party"
1,"Democratic"
2,"Democratic"
3,"Democratic"
4,"Democratic"
5,"Democratic"
6,"Democratic"
7,"Democratic"
8,"Democratic"
9,"Democratic"
10,"Democratic"
11,"Democratic"
12,"Democratic"
13,"Democratic"
14,"Democratic"
15,"Democratic"
16,"Democratic"
17,"Democratic"
18,"Democratic"
19,"Democratic"
20,"Democratic"
21,"Democratic"
22,"Democratic"
23,"Democratic"
24,"Democratic"
25,"Democratic"
26,"Democratic"
27,"Democratic"
28,"Democratic"
29,"Democratic"
30,"Democratic"
31,"Democratic"
32,"Democratic"
33,"Democratic"
34,"Democratic"
35,"Democratic"
36,"Democratic"
37,"Democratic"
38,"Democratic"
39,"Democratic"
40,"Democratic"
41,"Democratic"
42,"Democratic"
43,"Democratic"
44,"Democratic"
45,"Democratic"
46,"Democratic"
47,"Democratic"
48,"Democratic"
49,"Democratic"
50,"Democratic"
51,"Democratic"
52,"Democratic"
53,"Democratic"
54,"Democratic"
55,"Democratic"
56,"Democratic"
57,"Democratic"
58,"Democratic"
59,"Democratic"
60,"Democratic"
61,"Democratic"
62,"Democratic"
63,"Democratic"
64,"Democratic"
65,"Democratic"
66,"Democratic"
67,"Democratic"
68,"Democratic"
69,"Democratic"
70,"Democratic"
71,"Democratic"
72,"Democratic"
73,"Democratic"
74,"Democratic"
75,"Democratic"
76,"Democratic"
77,"Democratic"
78,"Democratic"
79,"Democratic"
80,"Democratic"
81,"Democratic"
82,"Democratic"
83,"Democratic"
84,"Democratic"
85,"Democratic"
86,"Democratic"
87,"Democratic"
88,"Democratic"
89,"Democratic"
90,"Democratic"
91,"Democratic"
92,"Democratic"
93,"Democratic"
94,"Democratic"
95,"Democratic"
96,"Democratic"
97,"Democratic"
98,"Democratic"
99,"Democratic"
100,"Democratic"
101,"Democratic"
102,"Democratic"
103,"Democratic"
104,"Democratic"
105,"Democratic"
106,"Democratic"
107,"Democratic"
108,"Democratic"
109,"Democratic"
110,"Democratic"
111,"Democratic"
112,"Democratic"
113,"Democratic"
114,"Democratic"
115,"Democratic"
116,"Democratic"
117,"Democratic"
118,"Democratic"
119,"Democratic"
120,"Democratic"
121,"Democratic"
122,"Democratic"
123,"Democratic"
124,"Democratic"
125,"Democratic"
126,"Democratic"
127,"Democratic"
128,"Democratic"
129,"Democratic"
130,"Democratic"
131,"Democratic"
132,"Democratic"
133,"Democratic"
134,"Democratic"
135,"Democratic"
136,"Democratic"
137,"Democratic"
138,"Democratic"
139,"Democratic"
140,"Democratic"
141,"Democratic"
142,"Democratic"
143,"Democratic"
144,"Democratic"
145,"Democratic"
146,"Democratic"
147,"Democratic"
148,"Democratic"
149,"Democratic"
150,"Democratic"
151,"Democratic"
152,"Democratic"
153,"Democratic"
154,"Democratic"
155,"Democratic"
156,"Democratic"
157,"Democratic"
158,"Democratic"
159,"Democratic"
160,"Democratic"
161,"Democratic"
162,"Democratic"
163,"Democratic"
164,"Democratic"
165,"Democratic"
166,"Democratic"
167,"Democratic"
168,"Democratic"
169,"Democratic"
170,"Democratic"
171,"Democratic"
172,"Democratic"
173,"Democratic"
174,"Democratic"
175,"Democratic"
176,"Democratic"
177,"Democratic"
178,"Democratic"
179,"Democratic"
180,"Democratic"
181,"Democratic"
182,"Democratic"
183,"Democratic"
184,"Democratic"
185,"Democratic"
186,"Democratic"
187,"Democratic"
188,"Democratic"
189,"Democratic"
190,"Democratic"
191,"Democratic"
192,"Democratic"
193,"Democratic"
194,"Democratic"
195,"Democratic"
196,"Democratic"
197,"Democratic"
198,"Democratic"
199,"Democratic"
200,"Democratic"
201,"Democratic"
202,"Democratic"
203,"Democratic"
204,"Democratic"
205,"Democratic"
206,"Democratic"
207,"Democratic"
208,"Democratic"
209,"Democratic"
210,"Democratic"
211,"Democratic"
212,"Democratic"
213,"Republican"
214,"Republican"
215,"Republican"
216,"Republican"
217,"Republican"
218,"Republican"
219,"Republican"
220,"Republican"
221,"Republican"
222,"Republican"
223,"Republican"
224,"Republican"
225,"Republican"
226,"Republican"
227,"Republican"
228,"Republican"
229,"Republican"
230,"Republican"
231,"Republican"
232,"Republican"
233,"Republican"
234,"Republican"
235,"Republican"
236,"Republican"
237,"Republican"
238,"Republican"
239,"Republican"
240,"Republican"
241,"Republican"
242,"Republican"
243,"Republican"
244,"Republican"
245,"Republican"
246,"Republican"
247,"Republican"
248,"Republican"
249,"Republican"
250,"Republican"
251,"Republican"
252,"Republican"
253,"Republican"
254,"Republican"
255,"Republican"
256,"Republican"
257,"Republican"
258,"Republican"
259,"Republican"
260,"Republican"
261,"Republican"
262,"Republican"
263,"Republican"
264,"Republican"
265,"Republican"
266,"Republican"
267,"Republican"
268,"Republican"
269,"Republican"
270,"Republican"
271,"Republican"
272,"Republican"
273,"Republican"
274,"Republican"
275,"Republican"
276,"Republican"
277,"Republican"
278,"Republican"
279,"Republican"
280,"Republican"
281,"Republican"
282,"Republican"
283,"Republican"
284,"Republican"
285,"Republican"
286,"Republican"
287,"Republican"
288,"Republican"
289,"Republican"
290,"Republican"
291,"Republican"
292,"Republican"
293,"Republican"
294,"Republican"
295,"Republican"
296,"Republican"
297,"Republican"
298,"Republican"
299,"Republican"
300,"Republican"
301,"Republican"
302,"Republican"
303,"Republican"
304,"Republican"
305,"Republican"
306,"Republican"
307,"Republican"
308,"Republican"
309,"Republican"
310,"Republican"
311,"Republican"
312,"Republican"
313,"Republican"
314,"Republican"
315,"Republican"
316,"Republican"
317,"Republican"
318,"Republican"
319,"Republican"
320,"Republican"
321,"Republican"
322,"Republican"
323,"Republican"
324,"Republican"
325,"Republican"
326,"Republican"
327,"Republican"
328,"Republican"
329,"Republican"
330,"Republican"
331,"Republican"
332,"Republican"
333,"Republican"
334,"Republican"
335,"Republican"
336,"Republican"
337,"Republican"
338,"Republican"
339,"Republican"
340,"Republican"
